,vIG,vEAA,vENT,vRNAP,vAF,wIG,wEAA,wENT,wRNAP,wAF,wrP,x,mu,EGVs
0.47EGM13,5.9277777777777825,7.54908073394496,1.1340000000000001,0.0002282498758689176,0.00022816303810397584,9.760708161865582e-06,0.00022374636508664655,0.0004612340032623563,1.344420000000001e-05,8.114998721898077e-06,0.00022816303810397584,0.47,1.067,EGM13
0.47EGM14,5.927777777777782,7.549639268220857,1.13371723067314,0.0002281929604687806,0.0002281929604687806,9.76070816186558e-06,0.00022376291942199054,3.3602119031340036e-05,1.3440847612536013e-05,0.0005427523149914287,0.0002281929604687806,0.47,1.067,EGM14
0.47EGM15,5.927777777777781,7.549639268220858,1.13371723067314,0.00022819296046878057,0.00022819296046878057,9.76070816186558e-06,0.0006514695155796518,3.360211903134003e-05,1.3444200000000008e-05,8.116062960672967e-06,0.00022819296046878057,0.47,1.067,EGM15
0.47EGM16,5.9277777777777825,7.54908073394496,1.1340000000000001,0.0002282498758689176,0.00022816303810397584,9.760708161865582e-06,0.00022374636508664655,3.3610500000000027e-05,1.344420000000001e-05,8.114998721898077e-06,0.0003871974999223091,0.47,1.067,EGM16
0.47EGM17,5.927777777777781,7.549639268220858,1.13371723067314,0.00022819296046878057,0.00022819296046878057,9.76070816186558e-06,0.00022376291942199054,3.360211903134003e-05,1.3444200000000008e-05,8.116062960672967e-06,0.0003872583247837842,0.47,1.067,EGM17
0.47EGM18,5.927777777777781,7.549639268220857,1.13371723067314,0.0002281929604687806,0.0002281929604687806,9.76070816186558e-06,0.00022376291942199057,3.3602119031340036e-05,1.344420000000001e-05,0.0005427493081577496,0.0002281929604687806,0.47,1.067,EGM18
0.47EGM19,5.927777777777781,7.549080733944959,1.1340000000000001,0.00022824987586891757,0.00022824987586891757,9.76070816186558e-06,0.00022374636508664658,3.361050000000002e-05,1.344420000000001e-05,0.0005423525081255344,0.00022824987586891757,0.47,1.067,EGM19
0.47EGM20,5.9277777777777825,7.54908073394496,1.1340000000000001,0.0002282498758689176,0.00022816303810397584,9.760708161865582e-06,0.00022374636508664655,3.3610500000000027e-05,1.344420000000001e-05,0.0005426443777998435,0.00022816303810397584,0.47,1.067,EGM20
0.475EGM1,5.950000000000004,7.586385788110313,1.1336922856292457,0.0002303611580385742,0.0002303611580385742,9.83402777777779e-06,0.00022569497719628195,0.0004543678808491967,1.3494600000000006e-05,8.223893341977105e-06,0.0002303611580385742,0.475,1.071,EGM1
0.475EGM2,5.950000000000005,7.586385788110313,1.1336922856292457,0.0002303611580385742,0.0002303611580385742,9.834027777777792e-06,0.00022569497719628195,3.372734549747009e-05,1.349093819898803e-05,0.0005340278468854661,0.0002303611580385742,0.475,1.071,EGM2
0.475EGM3,5.950000000000005,7.586385788110313,1.1336922856292457,0.0002303611580385742,0.0002303611580385742,9.834027777777792e-06,0.00022569497719628195,3.372734549747009e-05,1.349093819898803e-05,8.223893341977105e-06,0.00038515288979157775,0.475,1.071,EGM3
0.475EGM4,5.950000000000004,7.585777981651382,1.1340000000000001,0.00023042368421052634,0.00023042368421052634,0.003181526872749929,0.00022567689495412875,3.373650000000002e-05,1.3494600000000006e-05,8.226125526315796e-06,0.00023042368421052634,0.475,1.071,EGM4
0.475EGM5,5.950000000000004,7.585777981651382,1.1340000000000001,0.00023042368421052634,0.00023042368421052634,9.83402777777779e-06,0.0006459668596417205,3.373650000000002e-05,1.3494600000000006e-05,8.226125526315796e-06,0.00023042368421052634,0.475,1.071,EGM5
0.475EGM6,5.950000000000004,7.585777981651381,1.1340000000000001,0.00023042368421052634,0.00023032847394495443,9.83402777777779e-06,0.000646228310671861,3.373650000000002e-05,1.3494600000000008e-05,8.222726519834878e-06,0.00023032847394495443,0.475,1.071,EGM6
0.475EGM7,5.950000000000004,7.585777981651381,1.1340000000000001,0.00023042368421052634,0.00023032847394495443,0.0031834998971646887,0.00022567689495412872,3.373650000000002e-05,1.3494600000000008e-05,8.222726519834878e-06,0.00023032847394495443,0.475,1.071,EGM7
0.475EGM8,5.950000000000004,7.585777981651381,1.1340000000000001,0.00023042368421052634,0.00023032847394495443,9.83402777777779e-06,0.00022567689495412872,3.373650000000002e-05,1.3494600000000008e-05,8.222726519834878e-06,0.0003850864438390056,0.475,1.071,EGM8
0.475EGM9,5.950000000000004,7.585777981651382,1.1340000000000001,0.00023042368421052634,0.00023042368421052634,9.83402777777779e-06,0.00022567689495412875,0.00045402646468759174,1.3494600000000006e-05,8.226125526315796e-06,0.00023042368421052634,0.475,1.071,EGM9
