"","X","vIG","vEAA","vENT","vRNAP","vRNase","vAF","wIG","wEAA","wENT","wRNAP","wRNase","wAF","wrP","S0","S1","S2","S3","S4","S5","S6","S7","S8","S9","C","growth_rate","prot_fraction","EGVs","name"
"25035","EGM2",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,3.53597920876075e-08,3.53577213686813e-08,2.07071892620946e-12,1.24351736100432e-13,2.26636971917597e-07,3.14433779124942e-17,4.21121641527478e-13,6.10112101783661e-14,8.31284303561564e-18,2.07071892620946e-12,NA,0,0,0.00407933242898658,0,0,0,0,NA,NA,1,0.000120434158355321,0.36,"EGM2","deg_hill-6_glc_noacc"
"25036","EGM3",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,3.53597920876075e-08,3.53577213686813e-08,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,4.21121641527478e-13,6.10112101783661e-14,8.31284303561564e-18,1.45443245534596e-07,NA,1.4544117481567e-07,0,0,0,0,0,0,NA,NA,1,0.000120434158355321,0.36,"EGM3","deg_hill-6_glc_noacc"
"25037","EGM4",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,3.53597920876075e-08,3.53577213686813e-08,2.07071892620946e-12,1.71024656323285e-06,7.3925294533236e-12,3.14433779124942e-17,4.21121641527478e-13,6.10112101783661e-14,8.31284303561564e-18,2.07071892620946e-12,NA,0,1.10823969239496,0,0,0,0,0,NA,NA,1,0.000120434158355321,0.36,"EGM4","deg_hill-6_glc_noacc"
"25038","EGM5",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,3.53597920876075e-08,3.53577213686813e-08,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,3.1584353133239e-07,6.10112101783661e-14,8.31284303561564e-18,2.07071892620946e-12,NA,0,0,0,0,3.19391410152023e-06,0,0,NA,NA,1,0.000120434158355321,0.36,"EGM5","deg_hill-6_glc_noacc"
"25039","EGM6",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,3.53597920876075e-08,3.53577213686813e-08,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,4.21121641527478e-13,1.35894126582941e-06,8.31284303561564e-18,2.07071892620946e-12,NA,0,0,0,0,0,9.48473013902865e-05,0,NA,NA,1,0.000120434158355321,0.36,"EGM6","deg_hill-6_glc_noacc"
"25040","EGM7",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,3.53597920876075e-08,3.53577213686813e-08,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,2.26629579419587e-07,4.21121641527478e-13,6.10112101783661e-14,8.31284303561564e-18,2.07071892620946e-12,NA,0,0,0,0.00815866485797316,0,0,0,NA,NA,1,0.000120434158355321,0.36,"EGM7","deg_hill-6_glc_noacc"
"28399","EGM1",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,2.07071892620946e-12,NA,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,2.46614728725444e-17,NA,2.83287364653582e-07,2.07071892620946e-12,NA,0,0,0,0,0,8.49862093935807e-06,NA,NA,NA,1,0.000120434158355321,0.36,"EGM1","RBA_glc_noacc"
"28400","EGM2",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,2.07071892620946e-12,NA,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,2.46614728725444e-17,NA,8.31284303561564e-18,1.45443445973399e-07,NA,1.45441375254473e-07,0,0,0,0,0,NA,NA,NA,1,0.000120434158355321,0.36,"EGM2","RBA_glc_noacc"
"28401","EGM3",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,2.07071892620946e-12,NA,2.07071892620946e-12,1.71024892019779e-06,7.3925294533236e-12,3.14433779124942e-17,2.46614728725444e-17,NA,8.31284303561564e-18,2.07071892620946e-12,NA,0,1.10824121970824,0,0,0,0,NA,NA,NA,1,0.000120434158355321,0.36,"EGM3","RBA_glc_noacc"
"28402","EGM4",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,2.07071892620946e-12,NA,2.07071892620946e-12,1.24351736100432e-13,2.26637284245669e-07,3.14433779124942e-17,2.46614728725444e-17,NA,8.31284303561564e-18,2.07071892620946e-12,NA,0,0,0.00407933805089187,0,0,0,NA,NA,NA,1,0.000120434158355321,0.36,"EGM4","RBA_glc_noacc"
"28403","EGM5",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,2.07071892620946e-12,NA,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,3.15843545512526e-07,NA,8.31284303561564e-18,2.07071892620946e-12,NA,0,0,0,0,3.19391850319204e-06,0,NA,NA,NA,1,0.000120434158355321,0.36,"EGM5","RBA_glc_noacc"
"28404","EGM6",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,2.07071892620946e-12,NA,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,2.26629891747659e-07,2.46614728725444e-17,NA,8.31284303561564e-18,2.07071892620946e-12,NA,0,0,0,0.00815867610178375,0,0,NA,NA,NA,1,0.000120434158355321,0.36,"EGM6","RBA_glc_noacc"
