,G,AA,NT,rRNA,rP,IG,EAA,ENT,RNAP,AF,R,mu,EGVs,x
0.805EGM2,1.5150882822784548e-17,-1.467952202385347e-16,-2.729684055238349e-17,0.0,0.0,0.001592525137174127,0.3274531215644507,0.015362119296277659,0.0012725525956520309,0.01046418034915238,0.6438555010572667,2.638,EGM2,0.805
0.805EGM3,1.5150882822784548e-17,-1.467952202385347e-16,0.0,0.0,0.0,0.0015925251371741267,0.32745312156445067,0.015074727896606925,0.0015599439953227663,0.010464180349152379,0.6438555010572666,2.638,EGM3,0.805
0.805EGM4,0.0,0.0,-2.729684055238349e-17,0.0011397584744312723,0.0,0.0015925251371741265,0.3272167523572967,0.0151943946108651,0.001282654415657463,0.010452253710921457,0.6431216612936274,2.638,EGM4,0.805
0.805EGM5,1.5150882822784548e-17,-2.201928303578021e-16,-2.729684055238349e-17,0.0,0.0,0.001592525137174127,0.3274531215644507,0.015074727896606927,0.0012725525956520309,0.010751571748823116,0.6438555010572667,2.638,EGM5,0.805
0.805EGM6,1.5150882822784548e-17,-7.339761011926736e-17,0.0,0.0,0.0002873913996707128,0.0015925251371741267,0.3274531215644507,0.015074727896606927,0.0012725525956520307,0.010464180349152379,0.6438555010572666,2.638,EGM6,0.805
0.805EGM7,1.5150882822784548e-17,-1.467952202385347e-16,-2.729684055238349e-17,0.0,0.0,0.0018799165368448623,0.3274531215644507,0.015074727896606927,0.0012725525956520309,0.01046418034915238,0.6438555010572667,2.638,EGM7,0.805
0.805EGM8,1.5150882822784548e-17,-2.201928303578021e-16,-2.729684055238349e-17,0.0,0.0,0.001592525137174127,0.32774051296412143,0.015074727896606927,0.0012725525956520309,0.01046418034915238,0.6438555010572667,2.638,EGM8,0.805
0.81EGM1,-1.5191193039340798e-16,7.359289072391764e-17,0.0,0.0,0.0,0.0015882993312756363,0.3273055970127042,0.014669513124074334,0.001238345868066655,0.010450869981445805,0.644747374682407,2.631,EGM1,0.81
0.81EGM2,-4.557357911802239e-17,-7.359289072391764e-17,-1.36847330629395e-17,0.0,0.0,0.0015882993312756367,0.3273198239543346,0.014977594192610376,0.0012377378446895438,0.010445738641790438,0.6444308060352729,2.631,EGM2,0.81
0.81EGM3,-1.5191193039340798e-16,-7.359289072391764e-17,-1.36847330629395e-17,0.0,0.0,0.0015882993312756363,0.3273198239543345,0.014662310445775581,0.001553021591524339,0.010445738641790438,0.6444308060352728,2.631,EGM3,0.81
0.81EGM4,-1.0633835127538558e-16,7.359289072391764e-17,2.7369466125879e-17,0.0012535599433008253,0.0,0.0015882993312756367,0.32705962169875225,0.01479404312509965,0.0012488582286961948,0.0104326442822509,0.643622973390598,2.631,EGM4,0.81
0.81EGM5,-4.557357911802239e-17,-7.359289072391764e-17,-1.36847330629395e-17,0.0,0.0,0.0015882993312756367,0.3273198239543346,0.014662310445775581,0.0012377378446895438,0.010761022388625233,0.6444308060352729,2.631,EGM5,0.81
0.81EGM6,-4.557357911802239e-17,-1.4718578144783527e-16,-1.36847330629395e-17,0.0,0.0003152837468347387,0.0015882993312756363,0.3273198239543346,0.014662310445775581,0.0012377378446895438,0.010445738641790438,0.6444308060352729,2.631,EGM6,0.81
0.81EGM7,-4.557357911802239e-17,-7.359289072391764e-17,-1.36847330629395e-17,0.0,0.0,0.0019035830781104317,0.3273198239543346,0.014662310445775581,0.0012377378446895438,0.010445738641790438,0.6444308060352729,2.631,EGM7,0.81
0.81EGM8,-4.557357911802239e-17,-1.4718578144783527e-16,-1.36847330629395e-17,0.0,0.0,0.0015882993312756367,0.32763510770116944,0.014662310445775581,0.0012377378446895438,0.010445738641790438,0.6444308060352729,2.631,EGM8,0.81
0.815EGM1,0.0,7.37611030455723e-17,1.3716012452797646e-17,0.0,0.0,0.0015846772119340732,0.32729949159295346,0.014261259481495718,0.0012038826103474396,0.010434616667109521,0.6452160724361332,2.625,EGM1,0.815
0.815EGM2,1.0658141036401502e-16,-7.37611030455723e-17,1.3716012452797646e-17,0.0,0.0,0.0015846772119340732,0.327299512822922,0.01426173329479931,0.0012038817030324686,0.010434608802984033,0.6452155861643016,2.625,EGM2,0.815
0.815EGM3,1.0658141036401502e-16,-1.475222060911446e-16,0.0,0.0,0.0,0.001584677211934073,0.327299512822922,0.014261248733392773,0.001204366264439004,0.010434608802984033,0.6452155861643016,2.625,EGM3,0.815
0.815EGM4,-6.090366306515144e-17,7.37611030455723e-17,-1.3716012452797646e-17,1.93342709577817e-06,0.0,0.0015846772119340732,0.32729911101147185,0.014261452158604417,0.001203898875434045,0.01043458862842864,0.6452143386870047,2.625,EGM4,0.815
0.815EGM5,-1.3703324189659074e-16,7.37611030455723e-17,0.0,0.0,0.0,0.0015846772119340732,0.327299512822922,0.014261248733392774,0.0012038817030324686,0.01043509336439057,0.6452155861643016,2.625,EGM5,0.815
0.815EGM6,-1.522591576628786e-17,-7.37611030455723e-17,1.3716012452797646e-17,0.0,4.845614065283671e-07,0.0015846772119340732,0.327299512822922,0.014261248733392773,0.0012038817030324686,0.010434608802984033,0.6452155861643016,2.625,EGM6,0.815
